order_id,amount,date,customer_ref
O170,1000,2026-08-07,cust_21
O104,300,2026-08-07,cust_15
O131,1000,2026-08-25,cust_22
O106,1000,2026-08-26,cust_01
O155,750,2026-08-18,cust_29
O137,250,2026-08-04,cust_24
O115,300,2026-08-08,cust_07
O138,1000,2026-08-08,cust_04
O139,300,2026-08-03,cust_32
O164,250,2026-08-24,cust_21
O151,750,2026-08-04,cust_07
O112,1000,2026-08-21,cust_40
O123,2000,2026-08-05,cust_17
O126,500,2026-08-17,cust_32
O127,250,2026-08-04,cust_10
O162,2500,2026-08-22,cust_32
O161,1500,2026-08-09,cust_30
O148,300,2026-08-17,cust_16
O159,500,2026-08-14,cust_32
O125,1500,2026-08-19,cust_26
O132,1500,2026-08-06,cust_30
O130,250,2026-08-22,cust_08
O103,300,2026-08-19,cust_28
O102,500,2026-08-24,cust_07
O156,500,2026-08-09,cust_30
O160,250,2026-08-06,cust_25
O141,2000,2026-08-18,cust_11
O150,2000,2026-08-08,cust_31
O168,750,2026-08-19,cust_39
O121,1500,2026-08-09,cust_05
O133,1000,2026-08-17,cust_12
O149,2000,2026-08-07,cust_35
O122,1200,2026-08-07,cust_32
O114,250,2026-08-22,cust_15
O158,2500,2026-08-01,cust_06
O118,2000,2026-08-13,cust_18
O169,300,2026-08-14,cust_38
O153,250,2026-08-22,cust_07
O144,1200,2026-08-15,cust_34
O108,500,2026-08-07,cust_22
O167,300,2026-08-22,cust_16
O109,1500,2026-08-04,cust_23
O107,500,2026-08-23,cust_28
O147,250,2026-08-08,cust_05
O152,1500,2026-08-14,cust_30
O136,2500,2026-08-01,cust_39
O143,750,2026-08-23,cust_20
O101,300,2026-08-01,cust_18
O166,2500,2026-08-03,cust_12
O142,1500,2026-08-07,cust_35
O140,2500,2026-08-25,cust_09
O120,250,2026-08-08,cust_03
O146,750,2026-08-01,cust_05
O135,1200,2026-08-25,cust_11
O154,1200,2026-08-26,cust_07
O129,2000,2026-08-17,cust_17
O111,2500,2026-08-04,cust_25
O119,2500,2026-08-08,cust_21
O124,2500,2026-08-18,cust_17
O116,1200,2026-08-06,cust_24
O163,1000,2026-08-07,cust_04
O105,750,2026-08-23,cust_35
O157,300,2026-08-15,cust_36
O145,300,2026-08-11,cust_02
O117,300,2026-08-20,cust_11
O134,1000,2026-08-21,cust_33
O165,2000,2026-08-17,cust_34
O128,1500,2026-08-20,cust_05
O110,1000,2026-08-26,cust_03
O113,1200,2026-08-19,cust_13
